posicion,indice,keyword,vertical,tipo_keyword
121,7082,sony reproductor de blu ray,Electro y Tecno,modelo_producto
122,5158,sierra de banco stanley,Deporte y Fitness,modelo_producto
123,12525,planchita babyliss,Salud y Belleza,categoria_generica
124,3343,color venecia,"Muebles, Hogar y Deco",categoria_generica
125,837,pava electrica liliana,Electro y Tecno,categoria_marca
126,4655,caloventor liliana frio calor,Electro y Tecno,modelo_producto
127,8038,keychron k1,Electro y Tecno,categoria_generica
128,10167,muñeca baby alive con pelo,Bebes y Niños,modelo_producto
129,11282,almohadilla termica cervical silfab,Salud y Belleza,modelo_producto
130,9849,inguinal taekwondo,Deporte y Fitness,categoria_generica
131,2660,cama turca 2 plazas,"Muebles, Hogar y Deco",modelo_producto
132,1116,samsung galaxy z flip 7,Electro y Tecno,modelo_producto
133,4695,heladera neba a280,Electro y Tecno,categoria_generica
134,6556,funda samsung s20 fe,Electro y Tecno,modelo_producto
135,7152,breville barista pro,Electro y Tecno,categoria_generica
136,263,silla oficina,"Muebles, Hogar y Deco",categoria_generica
137,9351,llaves combinadas stanley,"Muebles, Hogar y Deco",categoria_marca
138,8672,campana electrolux de6rx retractil,Electro y Tecno,modelo_producto
139,4798,aspiradora dyson,Electro y Tecno,categoria_generica
140,6435,hot wheels bmw,Bebes y Niños,categoria_generica
141,10007,parlante bluetooth 15 pulgadas,Electro y Tecno,categoria_atributo
142,12040,vidrio templado moto g22,Electro y Tecno,modelo_producto
143,2693,nitro red,Salud y Belleza,categoria_generica
144,9158,funda de samsung,Electro y Tecno,categoria_marca
145,6434,carro para herramientas con ruedas,Autos y Motos,modelo_producto
146,4189,celular hyundai,Electro y Tecno,categoria_generica
147,4348,apliques,"Muebles, Hogar y Deco",modelo_producto
148,1556,cafetera moulinex dolce gusto,Electro y Tecno,modelo_producto
149,11045,springwall mcb 115,"Muebles, Hogar y Deco",categoria_generica
150,5288,lavarropas beko,Electro y Tecno,categoria_generica
151,580,tecno spark 20 pro,Electro y Tecno,modelo_producto
152,11753,anafe ariston a gas 5 hornallas,Electro y Tecno,modelo_producto
153,403,sandwicheras y wafleras,Electro y Tecno,categoria_generica
154,12707,t go,Indumentaria y Calzado,categoria_generica
155,8408,acople rapido neumatico,Autos y Motos,categoria_generica
156,5198,whirlpool lavarropas 10 kg,Electro y Tecno,modelo_producto
157,11115,vasos durax irupe,"Muebles, Hogar y Deco",categoria_generica
158,10518,gabinete porta herramientas,Electro y Tecno,categoria_generica
159,11616,conservadora 10 litros,Electro y Tecno,categoria_atributo
160,2889,vaporiera atma,Electro y Tecno,categoria_marca
161,2547,samsung galaxy a25 5g,Electro y Tecno,modelo_producto
162,1508,bad boy cobalt,Salud y Belleza,categoria_generica
163,2990,irrigador bucal gadnic,Salud y Belleza,categoria_marca
164,5404,juguete coche paraguita,Bebes y Niños,categoria_generica
165,8186,placard orlandi 6 puertas,"Muebles, Hogar y Deco",modelo_producto
166,12409,bordeadora exahome,Electro y Tecno,categoria_generica
167,7570,juguete practicuna para bebe,Bebes y Niños,modelo_producto
168,7464,secador de pelo gama diamond ceramic,Salud y Belleza,modelo_producto
169,6511,kit tromen,Deporte y Fitness,categoria_generica
170,11802,samsung galaxy a13 core,Electro y Tecno,modelo_producto
171,12455,smartwatch k37,Electro y Tecno,categoria_generica
172,4429,ajedrez de vidrio,"Muebles, Hogar y Deco",categoria_generica
173,14,iphone 17,Electro y Tecno,modelo_producto
174,5699,adidas tensaur niño,Deporte y Fitness,categoria_marca
175,2049,consola arcade,Electro y Tecno,categoria_generica
176,136,motorola g20,Electro y Tecno,modelo_producto
177,6209,philco balanza analogica,Electro y Tecno,categoria_marca
178,5585,cafetera delonghi dedica duo ec890,Electro y Tecno,modelo_producto
179,341,tcl 405,Electro y Tecno,categoria_generica
180,6208,smart tv enova,Electro y Tecno,categoria_atributo
181,2445,mochila con ruedas para niños,Indumentaria y Calzado,modelo_producto
182,6853,vaso rigolleau,"Muebles, Hogar y Deco",categoria_generica
183,9256,reposera gravedad cero easy,"Muebles, Hogar y Deco",modelo_producto
184,13005,perfume joy dior,Salud y Belleza,categoria_generica
185,10089,cortadora de fiambre familiar ultracomb,Electro y Tecno,modelo_producto
186,12545,colmi c60,Electro y Tecno,categoria_generica
187,2706,camicletas y pata patas,Bebes y Niños,categoria_generica
188,129,samsung galaxy a03 core,Electro y Tecno,modelo_producto
189,5522,radiograbador sanyo,Electro y Tecno,categoria_generica
190,1320,samsung j8,Electro y Tecno,modelo_producto
191,6852,luz para parrilla,"Muebles, Hogar y Deco",categoria_generica
192,12466,heladera ultracomb,Electro y Tecno,categoria_generica
193,766,redmi 13 pro,Electro y Tecno,modelo_producto
194,4268,microondas peabody,Electro y Tecno,categoria_marca
195,7607,bicicleta de paseo rodado 26,Deporte y Fitness,categoria_atributo
196,6242,epson l8160,Electro y Tecno,categoria_generica
197,407,apple airpods 4,Electro y Tecno,modelo_producto
198,11094,colchon 100 x 200,"Muebles, Hogar y Deco",modelo_producto
199,4752,horno de empotrar electrico,Electro y Tecno,categoria_atributo
200,1485,zapatillas rusty,Indumentaria y Calzado,categoria_generica
201,5116,secador modelador,Salud y Belleza,categoria_generica
202,11408,muñeca lol omg serie 4,Bebes y Niños,modelo_producto
203,11316,rowenta plancha de vapor,Salud y Belleza,modelo_producto
204,2043,revestimiento pared exterior,Electro y Tecno,categoria_generica
205,72,motorola g24,Electro y Tecno,modelo_producto
206,9867,adipower legend,Deporte y Fitness,categoria_generica
207,6385,mueble wengue,"Muebles, Hogar y Deco",categoria_generica
208,4700,sony shake x70d,Electro y Tecno,modelo_producto
209,3918,pelota de voley wilson,Deporte y Fitness,modelo_producto
210,2820,exhibidora inelro 470,Electro y Tecno,categoria_generica
211,3383,autos de juguete y accesorios,Bebes y Niños,categoria_generica
212,1184,paquete instax mini 12,Electro y Tecno,modelo_producto
213,8047,teclado nisuta,Electro y Tecno,categoria_generica
214,6509,auriculares adidas,Electro y Tecno,categoria_marca
215,8858,dell latitude e7470,Electro y Tecno,modelo_producto
216,11250,logo juego,"Muebles, Hogar y Deco",categoria_generica
217,9463,hedbanz,"Muebles, Hogar y Deco",modelo_producto
218,12424,razer wolverine,Electro y Tecno,categoria_generica
219,252,smart box,Electro y Tecno,categoria_atributo
220,8119,horno electrico grill rojo atma,Electro y Tecno,modelo_producto
221,2976,cocina eskabe,Electro y Tecno,categoria_generica
222,40,secador de pelo,Salud y Belleza,categoria_generica
223,982,hp pavilion x360,Electro y Tecno,modelo_producto
224,6232,sodastream art,Electro y Tecno,categoria_generica
225,12833,vanitory esquinero colgante,"Muebles, Hogar y Deco",categoria_generica
226,9919,termotanque electrico philco 73 litros,Electro y Tecno,modelo_producto
227,9635,muñeca barbie colorada,Bebes y Niños,categoria_generica
228,3164,termotanque electrico philco,Electro y Tecno,categoria_marca
229,12197,xiaomi 11t pro,Electro y Tecno,modelo_producto
230,7983,mouse recargable,Electro y Tecno,categoria_generica
231,8240,vaso para cafe stanley,"Muebles, Hogar y Deco",modelo_producto
232,2920,bucleadora,Electro y Tecno,modelo_producto
233,5892,logitech m185,Electro y Tecno,categoria_generica
234,12436,purificador pura,"Muebles, Hogar y Deco",categoria_generica
235,3498,kodak televisor de 24 pulgadas,Electro y Tecno,categoria_atributo
236,9909,auriculares xiaomi redmi buds 4 lite,Electro y Tecno,modelo_producto
237,7519,aire comprimido 5 y medio,Bebes y Niños,modelo_producto
238,6661,wahl cortadora de pelo,Salud y Belleza,modelo_producto
239,1626,tcl 20b,Electro y Tecno,categoria_generica
240,6074,pau d'arco,Deporte y Fitness,categoria_generica
241,3825,buclera automatica,Salud y Belleza,categoria_generica
242,0,iphone 13,Electro y Tecno,modelo_producto
243,6875,almohadilla electrica silfab,Salud y Belleza,categoria_atributo
244,10827,drunkdeer a75,Electro y Tecno,categoria_generica
245,10944,gorra disney,Indumentaria y Calzado,categoria_generica
246,2050,jbl 710,Electro y Tecno,modelo_producto
247,5555,radiograbador philips,Electro y Tecno,categoria_marca
248,11199,alacena con campana,"Muebles, Hogar y Deco",categoria_generica
249,4829,mensula para termotanque,Electro y Tecno,categoria_generica
250,5484,flip 4 jbl,Electro y Tecno,modelo_producto
251,12773,canilla monocomando flexible piazza,"Muebles, Hogar y Deco",modelo_producto
252,11488,juguete monopatin avengers,Bebes y Niños,categoria_generica
253,8575,mesa plegable redonda,"Muebles, Hogar y Deco",categoria_atributo
254,814,proyector de estrellas,Electro y Tecno,categoria_generica
255,4619,philips smart tv 32 pulgadas android,Electro y Tecno,modelo_producto
256,10293,vaporera smart tek,Electro y Tecno,categoria_atributo
257,10110,auriculares marshall minor iii,Electro y Tecno,modelo_producto
258,7206,vaporera avent,Electro y Tecno,categoria_generica
259,2661,respaldo cama king,"Muebles, Hogar y Deco",categoria_generica
260,6880,ciel d'or,Salud y Belleza,categoria_generica
261,8411,bateria 12x60,Autos y Motos,categoria_generica
262,10716,lenovo l450,Electro y Tecno,modelo_producto
263,1567,playstation auriculares ps5,Electro y Tecno,categoria_generica
264,9069,campana atma,Electro y Tecno,categoria_marca
265,10520,griferia para bidet capea,Electro y Tecno,modelo_producto
266,1674,cocina ariston,Electro y Tecno,categoria_generica
267,12739,mesa redonda de plastico con 4 sillas,"Muebles, Hogar y Deco",modelo_producto
268,104,iphone 8 plus,Electro y Tecno,modelo_producto
269,11545,mesa exterior frapera,"Muebles, Hogar y Deco",categoria_generica
270,4206,alexa con pantalla,Electro y Tecno,categoria_generica
271,3424,muñecas gatirena,Bebes y Niños,categoria_generica
272,11916,freidora gadnic f4.0,Electro y Tecno,modelo_producto
273,4572,bicicleta rodado 29 talle m,Deporte y Fitness,categoria_atributo
274,11857,microondas candy 20 litros,Electro y Tecno,categoria_atributo
275,8515,juguete muñeco de hulk,Bebes y Niños,modelo_producto
276,8334,perfume polo red hombre,Salud y Belleza,modelo_producto
277,4281,microondas smeg,Electro y Tecno,categoria_generica
278,7635,motomel 90,Deporte y Fitness,categoria_generica
279,1752,canon g7x mark iii,Electro y Tecno,modelo_producto
280,2090,planchita bellissima,Salud y Belleza,categoria_generica
281,4311,lavavajillas lg,Electro y Tecno,categoria_marca
282,8204,mueble organizador lavadero,"Muebles, Hogar y Deco",categoria_generica
283,7300,samsung j7,Electro y Tecno,modelo_producto
284,609,gaming pc,Electro y Tecno,categoria_generica
285,5718,gabinetes,Electro y Tecno,modelo_producto
286,12771,respaldo sommier con mesas flotantes,"Muebles, Hogar y Deco",modelo_producto
287,5303,bordeadora gamma,Electro y Tecno,categoria_generica
288,9138,electrolux erg36,Electro y Tecno,modelo_producto
289,2161,bicicleta randers rodado 29,Deporte y Fitness,modelo_producto
290,9236,valija frozen,Indumentaria y Calzado,categoria_generica
291,1537,impresoras multifuncion,Electro y Tecno,categoria_generica
292,9406,repisa biblioteca,"Muebles, Hogar y Deco",categoria_generica
293,5444,samsung galaxy celular j4,Electro y Tecno,modelo_producto
294,8953,smart kanji 40,Electro y Tecno,categoria_atributo
295,6961,muñeca lol sirena,Bebes y Niños,categoria_generica
296,12377,kanji fon,Electro y Tecno,categoria_generica
297,1310,calefon a gas envasado,Electro y Tecno,modelo_producto
298,5529,waflera moulinex,Electro y Tecno,categoria_marca
299,9508,vanta premium label,Salud y Belleza,categoria_generica
300,10706,freezer columbia,Electro y Tecno,categoria_generica
301,8646,longvie calefon salida lateral derecha,Electro y Tecno,modelo_producto
302,224,zapatilla,Indumentaria y Calzado,modelo_producto
303,5011,termometro digital cocina,"Muebles, Hogar y Deco",categoria_generica
304,3176,olla a presion atma,"Muebles, Hogar y Deco",modelo_producto
305,4180,calefactor ceramico,Electro y Tecno,categoria_generica
306,43,motorola edge 40,Electro y Tecno,modelo_producto
307,10738,philco php32ha3an,Electro y Tecno,modelo_producto
308,4186,caloventor kanji,Electro y Tecno,categoria_generica
309,9701,guantes de arquero de river,Bebes y Niños,modelo_producto
310,11268,depiladora gama oasis look,Salud y Belleza,modelo_producto
311,9201,cafetera espresso ce 5110 cuppa,Electro y Tecno,modelo_producto
312,1467,adaptador wifi,Electro y Tecno,categoria_atributo
313,12917,termo humma,"Muebles, Hogar y Deco",categoria_generica
314,9830,paleta ale galan,Deporte y Fitness,categoria_generica
315,6715,galaxy a72,Electro y Tecno,categoria_generica
316,5207,rallador electrico peabody,Electro y Tecno,categoria_marca
317,5406,mochila porta bebe,Bebes y Niños,categoria_generica
318,3502,heladeras bajo mesada con freezer,Electro y Tecno,modelo_producto
319,6933,juguete pistola percutora,Salud y Belleza,categoria_generica
320,10786,exo i3,Electro y Tecno,categoria_generica
321,4372,inodoro ferrum andina corto,"Muebles, Hogar y Deco",modelo_producto
322,65,samsung a02,Electro y Tecno,modelo_producto
323,5821,realme celular note,Electro y Tecno,categoria_generica
324,7142,samsung odyssey g3,Electro y Tecno,modelo_producto
325,5635,termo kushiro,"Muebles, Hogar y Deco",categoria_generica
326,7292,potencia de parlantes,Electro y Tecno,categoria_generica
327,10186,heladera vostok bajo mesada,Electro y Tecno,modelo_producto
328,6605,parrilla eléctrica atma,Electro y Tecno,categoria_marca
329,11930,freezer inelro 520 litros,Electro y Tecno,categoria_atributo
330,8880,drean family 066b,Electro y Tecno,modelo_producto
331,6693,aspiradora sansei,Electro y Tecno,categoria_generica
332,6171,bandolera porta celular,Indumentaria y Calzado,categoria_generica
333,1499,hudson cocina,"Muebles, Hogar y Deco",categoria_generica
334,9921,samsung galaxy funda a33 5g,Electro y Tecno,modelo_producto
335,12993,estee lauder daywear,Salud y Belleza,categoria_generica
336,1317,huawei gw,Electro y Tecno,categoria_generica
337,1233,secaplatos,"Muebles, Hogar y Deco",modelo_producto
338,4548,juguete moises cuna,Bebes y Niños,categoria_generica
339,4371,cocina a gas 4 hornallas,Electro y Tecno,modelo_producto
340,7258,patillera buda,Electro y Tecno,categoria_generica
341,4644,secarropa drean 5.5,Electro y Tecno,modelo_producto
342,12488,auriculares m25,Electro y Tecno,categoria_generica
343,949,canilla para lavarropas,"Muebles, Hogar y Deco",categoria_generica
344,2776,lavarropa whirlpool 9 kg,Electro y Tecno,modelo_producto
345,8937,microscopio digital gadnic,Electro y Tecno,categoria_marca
346,4969,quien es quien juego de mesa,Bebes y Niños,modelo_producto
347,4934,alisador,Salud y Belleza,modelo_producto
348,3941,pelota inflable,Deporte y Fitness,categoria_generica
349,4020,máquina de coser semi industrial,Electro y Tecno,categoria_atributo
350,7943,cafetera express automática,Electro y Tecno,categoria_generica
351,2222,motorola xt2341-2,Electro y Tecno,modelo_producto
352,9783,bici lamborghini rodado 12,Deporte y Fitness,categoria_atributo
353,9252,respaldo de pana 2 plazas,"Muebles, Hogar y Deco",modelo_producto
354,1693,secador con difusor,Salud y Belleza,categoria_generica
355,12513,rallador yelmo,Electro y Tecno,categoria_generica
356,987,maquina de coser brother,Electro y Tecno,modelo_producto
357,12896,flotador cama,"Muebles, Hogar y Deco",categoria_generica
358,7157,redmi 6 pro,Electro y Tecno,modelo_producto
359,3029,juguete triciclo rainbow,Bebes y Niños,categoria_generica
360,10767,ventilador tivoli,Electro y Tecno,categoria_generica
361,11699,barra de sonido lg sk1d 2.0ch,Electro y Tecno,modelo_producto
362,10594,aspiradora ranser,Electro y Tecno,categoria_generica
363,10345,ventilador peabody digital,Electro y Tecno,categoria_marca
364,8410,estereo nakamichi,Autos y Motos,categoria_generica
365,11718,iphone icopy plus 2.1,Electro y Tecno,modelo_producto
366,12900,piero modena,"Muebles, Hogar y Deco",categoria_generica
367,5546,parrilla oster,Electro y Tecno,categoria_generica
368,6760,alcatel 1l,Electro y Tecno,categoria_atributo
369,4165,cortadora de cesped petri,Electro y Tecno,modelo_producto
370,11019,pileta de acero inoxidable para mesada,"Muebles, Hogar y Deco",modelo_producto
371,11590,adidas harden vol 5,Deporte y Fitness,modelo_producto
372,385,maquinas de coser,Electro y Tecno,categoria_generica
373,8348,polvo traslucido loreal,Salud y Belleza,categoria_generica
374,5425,drean excellent blue 6. de lavado,Electro y Tecno,modelo_producto
375,1332,tienda de campaña,Electro y Tecno,categoria_generica
376,4336,mochila amayra,Indumentaria y Calzado,categoria_generica
377,7154,máquina de cortar pelo,Electro y Tecno,modelo_producto
378,12897,roca ibis,"Muebles, Hogar y Deco",categoria_generica
379,11522,nerf roblox mm2,Bebes y Niños,categoria_generica
380,1152,apple tv,Electro y Tecno,categoria_marca
381,11465,ventiladores liliana con control remoto,Electro y Tecno,modelo_producto
382,12244,joystick dynacom ps4,Electro y Tecno,categoria_generica
383,7523,muñeca deuce monster high,Bebes y Niños,modelo_producto
384,6868,perfume calvin klein shock mujer,Salud y Belleza,modelo_producto
385,2632,gadnic z900,Electro y Tecno,modelo_producto
386,6077,barra de pilates,Deporte y Fitness,categoria_generica
387,10587,roomba j7+,Electro y Tecno,categoria_generica
388,2345,tcl 55 pulgadas 4k,Electro y Tecno,categoria_atributo
389,9245,lamparas,"Muebles, Hogar y Deco",modelo_producto
390,12889,termo coleman,"Muebles, Hogar y Deco",categoria_generica
391,11606,barra de sonido moonki,Electro y Tecno,modelo_producto
392,10703,auriculares seisa,Electro y Tecno,categoria_generica
393,11367,perlivitha labial,Salud y Belleza,categoria_generica
394,11758,reloj samsung watch 5 pro,Electro y Tecno,modelo_producto
395,5352,cocina fornax,Electro y Tecno,categoria_generica
396,12557,motorola g42,Electro y Tecno,modelo_producto
397,5254,samsung secarropas inverter,Electro y Tecno,categoria_marca
398,8294,a10 modulo,"Muebles, Hogar y Deco",categoria_generica
399,4916,corta cuticula,Electro y Tecno,categoria_generica
400,7891,samsung tab s7,Electro y Tecno,modelo_producto
401,9360,alfombra magica juego,Bebes y Niños,categoria_generica
402,2116,bacha de cocina johnson,"Muebles, Hogar y Deco",modelo_producto
403,5823,teclado mecanico 100%,Electro y Tecno,categoria_generica
404,4050,heladera drean 362 litros,Electro y Tecno,modelo_producto
405,4205,proyector smart,Electro y Tecno,categoria_atributo
406,2392,philco heladera con dispenser,Electro y Tecno,modelo_producto
407,2008,epson impresora a3,Electro y Tecno,categoria_generica
408,7422,organizador de marcadores,"Muebles, Hogar y Deco",categoria_generica
409,79,balanzas de baño,Salud y Belleza,categoria_generica
410,2367,samsung a34 5g,Electro y Tecno,modelo_producto
411,2360,amazfit bip 5,Electro y Tecno,categoria_generica
412,5879,philco lavasecarropas,Electro y Tecno,categoria_marca
413,8243,cabina led gadnic,"Muebles, Hogar y Deco",categoria_marca
414,3515,lavarropas gafa 6500,Electro y Tecno,modelo_producto
415,9350,silla gamer noga,"Muebles, Hogar y Deco",categoria_atributo
416,968,razer blackshark v2,Electro y Tecno,categoria_generica
417,9665,muñeca avion de barbie,Bebes y Niños,modelo_producto
418,11261,cepillo stylish gama keration brush 3d secador cabello,Salud y Belleza,modelo_producto
419,8120,lenovo ideapad slim 3 portatil,Electro y Tecno,modelo_producto
420,10908,valvula descarga mochila capea,Indumentaria y Calzado,modelo_producto
421,6831,juego de baño,"Muebles, Hogar y Deco",categoria_generica
422,5331,colchón inflable de dos plazas,"Muebles, Hogar y Deco",modelo_producto
423,1088,billetera mujer,Indumentaria y Calzado,categoria_generica
424,9815,instax mini film,Deporte y Fitness,categoria_generica
425,4207,pantalla carplay,Electro y Tecno,categoria_generica
426,9754,juguete muñeca lol,Bebes y Niños,categoria_generica
427,8874,ventilador de pared philco,Electro y Tecno,modelo_producto
428,422,atornillador inalambrico,Electro y Tecno,categoria_atributo
429,3531,huawei gw metal,Electro y Tecno,categoria_generica
430,3436,mesa plegable de aluminio,Deporte y Fitness,categoria_atributo
431,6152,jbl flip 6,Electro y Tecno,modelo_producto
432,13044,elongador de espalda,Salud y Belleza,categoria_generica
433,1000,philips sopera electrica,Electro y Tecno,categoria_marca
434,11399,aire acondicionado split inverter midea fc msagii-18h-01e,Electro y Tecno,modelo_producto
435,7446,silla smile,"Muebles, Hogar y Deco",categoria_generica
436,1468,tcl 40se,Electro y Tecno,categoria_generica
437,6903,máscara nasal para cpap,Autos y Motos,modelo_producto
438,8427,compresor de aire lusqtoff 50 litros,Bebes y Niños,categoria_atributo
439,10036,samsung galaxy a22 5g,Electro y Tecno,modelo_producto
